title,lang,source_name,format,category,cefr_level,license,text,source_dataset
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,Different policies were applied in Albania and China which became more distanced from the Soviet Union.,universalcefr/readme_en
na,en,readme,sentence-level,reference,B2,CC BY SA NC 4.0,"Monarchies, though, have applied state symbols like insignia or abstracts like the concept of the Crown to create a state identity, which is to be carried and occupied by the monarch, but represents the monarchy even in absence and succession of the monarch.",universalcefr/readme_en
na,en,readme,sentence-level,reference,B2,CC BY SA NC 4.0,"The practice of social work requires knowledge of human development and behavior; of social and economic, and cultural institutions; and the interaction of all these factors.",universalcefr/readme_en
na,en,readme,sentence-level,reference,C2,CC BY SA NC 4.0,"Supraglottal pressure, with no constrictions or articulations, is equal to about atmospheric pressure.",universalcefr/readme_en
na,en,readme,sentence-level,reference,C1,CC BY SA NC 4.0,"Mental health services, is a loose network of services ranging from highly structured inpatient psychiatric units to informal support groups, where psychiatric social workers indulges in the diverse approaches in multiple settings along with other paraprofessional workers.",universalcefr/readme_en
na,en,readme,sentence-level,reference,C1,CC BY SA NC 4.0,"Since its inception, sociological epistemology, methods, and frames of inquiry, have significantly expanded and diverged.Durkheim, Marx, and the German theorist Max Weber are typically cited as the three principal architects of sociology.",universalcefr/readme_en
na,en,readme,sentence-level,reference,B2,CC BY SA NC 4.0,The antagonism represents the most modern form of the conflict which primitive man must carry on with nature for his bodily existence.,universalcefr/readme_en
na,en,readme,sentence-level,reference,B2,CC BY SA NC 4.0,"The ""open/closed principle"" advocates that classes and functions ""should be open for extension, but closed for modification"".",universalcefr/readme_en
na,en,readme,sentence-level,reference,C1,CC BY SA NC 4.0,Information theoretic security refers to methods such as the one-time pad that are not vulnerable to such brute force attacks.,universalcefr/readme_en
na,en,readme,sentence-level,reference,C1,CC BY SA NC 4.0,"In this model, the series impedance and the shunt (current leak) conductance are considered, with half of the shunt conductance being placed at each end of the line.",universalcefr/readme_en
na,en,readme,sentence-level,reference,B2,CC BY SA NC 4.0,The reduced current flowing through the line reduces the heating losses in the conductors.,universalcefr/readme_en
na,en,readme,sentence-level,reference,B1,CC BY SA NC 4.0,Faults in buried transmission lines take longer to locate and repair.,universalcefr/readme_en
na,en,readme,sentence-level,reference,C1,CC BY SA NC 4.0,"The population of Rome, the excessive increase of which had been the principal aliment of seditions, was called to labour and a country life; the greater part of the countries of Italy, which had lost their inhabitants, were re-peopled.",universalcefr/readme_en
na,en,readme,sentence-level,reference,B2,CC BY SA NC 4.0,"One of the Queen's great delights at Windsor was to walk round the farms and inspect the cattle, which are still, owing largely to the careful methods of feeding and tending instituted by the Prince, among the finest in the world.",universalcefr/readme_en
na,en,readme,sentence-level,reference,B1,CC BY SA NC 4.0,"When the Tetzel writings came off press and were distributed, students at Wittenberg collected a large quantity and held a public bonfire.",universalcefr/readme_en
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,It is God’s free gift to the individual believer.,universalcefr/readme_en
na,en,readme,sentence-level,reference,B2,CC BY SA NC 4.0,"They were generally agriculturists, excluded originally from all military and civil office.",universalcefr/readme_en
na,en,readme,sentence-level,reference,A1,CC BY SA NC 4.0,"And the little prince went away, puzzled.",universalcefr/readme_en
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"This is, to me, the loveliest and saddest landscape in the world.",universalcefr/readme_en
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,The fifth planet was very strange.,universalcefr/readme_en
na,en,readme,sentence-level,reference,B1,CC BY SA NC 4.0,The businessman suddenly realized that there was no hope of being left in peace until he answered this question.,universalcefr/readme_en
na,en,readme,sentence-level,reference,B1,CC BY SA NC 4.0,Then he mopped his forehead with a handkerchief decorated with red squares.,universalcefr/readme_en
na,en,readme,sentence-level,reference,C1,CC BY SA NC 4.0,"Eugene O’Curry wants to establish that compositions of an older date than the twelfth century existed in Ireland in the twelfth century, and thus he proceeds.",universalcefr/readme_en
na,en,readme,sentence-level,reference,B2,CC BY SA NC 4.0,"‘“Why, dear Jane,” he said, “do you scatter good grain on the ground; would it not be better to make good bread of it than to throw it to the greedy chickens?”",universalcefr/readme_en
na,en,readme,sentence-level,reference,C1,CC BY SA NC 4.0,"For sensibility, the power of quick and strong perception and emotion, is one of the very prime constituents of genius, perhaps its most positive constituent; it is to the soul what good senses are to the body, the grand natural condition of successful activity.",universalcefr/readme_en
na,en,readme,sentence-level,reference,B1,CC BY SA NC 4.0,"He clothed himself in purple and fine linen, and fared like the king himself.",universalcefr/readme_en
na,en,readme,sentence-level,reference,C1,CC BY SA NC 4.0,"His mother, too, would be pleased; she had counselled the step; he must write her a long account.",universalcefr/readme_en
na,en,readme,sentence-level,reference,B1,CC BY SA NC 4.0,"On the following day the thirty-six patients were installed in the Bishop’s palace, and the Bishop was settled in the hospital.",universalcefr/readme_en
na,en,readme,sentence-level,reference,C1,CC BY SA NC 4.0,"As she passed the Thénardier hostelry, the two little girls, blissful in the monster swing, had dazzled her in a manner, and she had halted in front of that vision of joy.",universalcefr/readme_en
na,en,readme,sentence-level,reference,C1,CC BY SA NC 4.0,"He turned his back to the grating, and fell upon the pavement, hurled to earth rather than seated, close to Marius, who still made no movement, and with his head bent between his knees.",universalcefr/readme_en
na,en,readme,sentence-level,reference,B2,CC BY SA NC 4.0,"When the five men sent back to life had taken their departure, Enjolras thought of the man who had been condemned to death.",universalcefr/readme_en
na,en,readme,sentence-level,reference,B1,CC BY SA NC 4.0,Stopping the entire narrative at the climax in order to inexplicably launch into a bone-dry description of Mormonism for seemingly 800 pages...brave.,universalcefr/readme_en
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"This has to be the start of a series, right?",universalcefr/readme_en
na,en,readme,sentence-level,reference,B1,CC BY SA NC 4.0,"When the murderer goes on to explain his/her actions, you will continue to not believe it.",universalcefr/readme_en
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"Didn't care much for the characters, the twist was so obvious, the writing just okay.",universalcefr/readme_en
na,en,readme,sentence-level,reference,B1,CC BY SA NC 4.0,I've written a review of this horrid novel only because I might spare a friend or two.,universalcefr/readme_en
na,en,readme,sentence-level,reference,B1,CC BY SA NC 4.0,"The room was bright, light and very clean as were the shared bathrooms.",universalcefr/readme_en
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,Reception staff friendly and helpful.,universalcefr/readme_en
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"When the rooms are finally updated, this place could be top-notch.",universalcefr/readme_en
na,en,readme,sentence-level,reference,B2,CC BY SA NC 4.0,"However this doesn't extend to the staff, who were unfriendly to say the least and didn't acknowledge the fact we were newly weds despite it saying so on our booking form, Sadly the reception area was the only 'wow' that the hotel had.",universalcefr/readme_en
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"!The hotel was so quiet, clean and unique in its layout and decorum!",universalcefr/readme_en
na,en,readme,sentence-level,reference,B1,CC BY SA NC 4.0,"It is predominantly Willis as the N.Y. cop, coming to visit his L.A. businesswoman wife, and his outsmarting the bad guys.",universalcefr/readme_en
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"To be honest, by now I didn't really care.",universalcefr/readme_en
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,This film does have its good points.,universalcefr/readme_en
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,This wonderful story takes you back to a more simple time and brings back memories for both old and young.,universalcefr/readme_en
na,en,readme,sentence-level,reference,B2,CC BY SA NC 4.0,"The hilarious one-liners, the smart remarks and the way Willis makes himself know to the terrorists is just classic and we get so many great showdowns that you can't help enjoy all of them.",universalcefr/readme_en
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"Customer service did seem to be nice though, but I regret missing my return date for these.",universalcefr/readme_en
na,en,readme,sentence-level,reference,B1,CC BY SA NC 4.0,"Very disappointed in the quality, patterns and size I will donate or give away.",universalcefr/readme_en
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,Two of the glasses were broken when I opened the package.,universalcefr/readme_en
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,Very very poor quality and expensive!,universalcefr/readme_en
na,en,readme,sentence-level,reference,B2,CC BY SA NC 4.0,If someone orders two tacos don't' you think it may be part of customer service to ask if it is combo or ala cart?,universalcefr/readme_en
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,I'm not sure how long we stood there but it was long enough for me to begin to feel awkwardly out of place.,universalcefr/readme_en
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,We've have gotten a much better service from the pizza place next door than the services we received from this restaurant.,universalcefr/readme_en
na,en,readme,sentence-level,reference,B1,CC BY SA NC 4.0,"Our server was very nice, and even though he looked a little overwhelmed with all of our needs, he stayed professional and friendly until the end.",universalcefr/readme_en
na,en,readme,sentence-level,reference,B1,CC BY SA NC 4.0,"I guess I should have known that this place would suck, because it is inside of the Excalibur, but I didn't use my common sense.",universalcefr/readme_en
na,en,readme,sentence-level,reference,B2,CC BY SA NC 4.0,Rotate the image 1 degree clockwise to bring it into better horizontal alignment.,universalcefr/readme_en
na,en,readme,sentence-level,reference,B2,CC BY SA NC 4.0,"In general, the ith dimension of the output array is the dimension dimorder(i) from the input array.",universalcefr/readme_en
na,en,readme,sentence-level,reference,C1,CC BY SA NC 4.0,"B = imtranslate(A,translation) translates image A by the 2-D or 3-D translation vector specified in translation.",universalcefr/readme_en
na,en,readme,sentence-level,reference,C1,CC BY SA NC 4.0,The resulting image is an m-by-n grid of pixels where m is the number of rows and n is the number of columns in C. The row and column indices of the elements determine the centers of the corresponding pixels.,universalcefr/readme_en
na,en,readme,sentence-level,reference,B2,CC BY SA NC 4.0,The estimateCameraParameters function estimates extrinsics and intrinsics parameters.,universalcefr/readme_en
na,en,readme,sentence-level,reference,B1,CC BY SA NC 4.0,Repeating a mantra is a great way to cleanse your aura.,universalcefr/readme_en
na,en,readme,sentence-level,reference,B1,CC BY SA NC 4.0,"Layers are great for babies, because you can easily take them off or put them on as needed.",universalcefr/readme_en
na,en,readme,sentence-level,reference,B1,CC BY SA NC 4.0,Many people find they feel lighter and more positive after an aura cleanse.,universalcefr/readme_en
na,en,readme,sentence-level,reference,B2,CC BY SA NC 4.0,"Afterward, you might want to cleanse your selenite crystal to remove the negative energy.",universalcefr/readme_en
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"Hold this position for one minute, rest, and repeat two more times.",universalcefr/readme_en
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,Flip and repeat so it becomes lightly browned on both sides.,universalcefr/readme_en
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"They can also be mixed in the pan, but it's a little tricky not to spill.",universalcefr/readme_en
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"In large saucepan, combine sugar, margarine and evaporated milk.",universalcefr/readme_en
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,Remove onion and bay leaf.,universalcefr/readme_en
na,en,readme,sentence-level,reference,B1,CC BY SA NC 4.0,Pour tempered egg mixture into pan of hot pie filling.,universalcefr/readme_en
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"While charging, the device and the charger may become hot and stop charging.",universalcefr/readme_en
na,en,readme,sentence-level,reference,B1,CC BY SA NC 4.0,"Samsung Members may be preloaded on your device, or you can download and install it from Galaxy Store or the Google Play store",universalcefr/readme_en
na,en,readme,sentence-level,reference,B2,CC BY SA NC 4.0,"Although the Samsung Health application is a great companion to your exercise routine, it is always best to make sure you consult with your physician before beginning any exercise regimen.",universalcefr/readme_en
na,en,readme,sentence-level,reference,B2,CC BY SA NC 4.0,Any device which uses accessible compartments or ports that can be opened should have these sealed or closed tightly to prevent liquid from entering the system,universalcefr/readme_en
na,en,readme,sentence-level,reference,B1,CC BY SA NC 4.0,Use the Alarm tab to set one-time or recurring alarms and choose options for how to be notified,universalcefr/readme_en
na,en,readme,sentence-level,reference,B2,CC BY SA NC 4.0,"In the event of any discrepancy between the English version of this Code of Conduct, or any other Fatima Fellowship material, and a translated version, the English version shall prevail",universalcefr/readme_en
na,en,readme,sentence-level,reference,B2,CC BY SA NC 4.0,You may be subjected to disciplinary action as well for having knowledge of but failing to appropriately report a violation of this Code of Conduct,universalcefr/readme_en
na,en,readme,sentence-level,reference,B2,CC BY SA NC 4.0,"Fatima Fellowship prohibits the discrimination against, and harassment of community members, including organizers, mentors and fellows",universalcefr/readme_en
na,en,readme,sentence-level,reference,C1,CC BY SA NC 4.0,"Harassment includes any action, language or visual representation, that is sufficiently severe, pervasive, persistent or patently offensive that it has the effect of unreasonably interfering with that person’s work or academic performance, or that creates an intimidating, hostile, or offensive working, educational, or living environment",universalcefr/readme_en
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,The program is conducted online in its entirety,universalcefr/readme_en
na,en,readme,sentence-level,reference,B2,CC BY SA NC 4.0,"Parties are individually and separately responsible for their own business operation and expenses, including securing or paying any licensing fees, insurance, taxes (including FICA), registrations or permits.",universalcefr/readme_en
na,en,readme,sentence-level,reference,B2,CC BY SA NC 4.0,All travel can be arranged by clients per specifications of Consultant or arranged by Consultant with agreement of payment invoiced.,universalcefr/readme_en
na,en,readme,sentence-level,reference,C2,CC BY SA NC 4.0,"Client agrees to indemnify and hold harmless Contractor and its employees, agents and independent contractors for any injury, property damage, liability, claim or other cause of action arising out of or related to Services provided herein.",universalcefr/readme_en
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"In addition, the program provides the means for athletes to participate in appropriate recreational activities geared to their ability levels",universalcefr/readme_en
na,en,readme,sentence-level,reference,C1,CC BY SA NC 4.0,A Jury of Appeals shall consist of a minimum of three members: one from the Accred ited Program responsible for conducting the Games; one from the GOC and a designated person with a thorough knowledge of Special Olympics standards and philosophy,universalcefr/readme_en
na,en,readme,sentence-level,reference,B2,CC BY SA NC 4.0,"Where no such protocol is published, the sport specific jury shall consist of a minimum of three members: one from the Accredited Program responsible for conducting the competition; one from the GOC, or Sport Management Team, and the head official for that  sport",universalcefr/readme_en
na,en,readme,sentence-level,reference,B2,CC BY SA NC 4.0,When and where divisioning scores were established:  Competition Management must take into account when and where the divisioning scores were established.,universalcefr/readme_en
na,en,readme,sentence-level,reference,B2,CC BY SA NC 4.0,Athletes and teams may not exceed thi s percentage of improvement from their divisioning score to their final score.,universalcefr/readme_en
na,en,readme,sentence-level,reference,C1,CC BY SA NC 4.0,"The President, Vice President and all civil Officers of the  United States, shall be removed from Office on Impeachment for, and Conviction of, Treason, Bribery, or other high Crimes and Misdemeanors",universalcefr/readme_en
na,en,readme,sentence-level,reference,C1,CC BY SA NC 4.0,"The Congress shall have Power to declare the Punishment  of Treason, but no Attainder of Treason shall work Corrup- tion of Blood, or Forfeiture except during the Life of the  Person attainted",universalcefr/readme_en
na,en,readme,sentence-level,reference,B2,CC BY SA NC 4.0,"Neither slavery nor involuntary servitude, except as a  punishment for crime whereof the party shall have been  duly convicted, shall exist within the United States, or any  place subject to their jurisdiction.",universalcefr/readme_en
na,en,readme,sentence-level,reference,B2,CC BY SA NC 4.0,This deficient performance prejudiced Thomas by depriving him of a fair trial.,universalcefr/readme_en
na,en,readme,sentence-level,reference,B1,CC BY SA NC 4.0,"To its dismay, Coral Ridge learned it was ineligible for the program.",universalcefr/readme_en
na,en,readme,sentence-level,reference,B2,CC BY SA NC 4.0,"No compensation is payable by the United Nations for non-economic loss, such as pain and suffering or moral anguish, as well as punitive or moral damages;",universalcefr/readme_en
na,en,readme,sentence-level,reference,C1,CC BY SA NC 4.0,"Concerning collective trials of individuals, stated in a number of recommendations, according to article 209 of Penal Procedures Code, if several persons act together in committing an offence; charges against them are heard jointly.",universalcefr/readme_en
na,en,readme,sentence-level,reference,C1,CC BY SA NC 4.0,"Moreover, successful implementation will require that the orientation of enterprise development is towards tapping the potential opportunities presented by the larger globalizing and liberalizing trends in the world economy.",universalcefr/readme_en
na,en,readme,sentence-level,reference,B2,CC BY SA NC 4.0,"That plan sets out a framework for the provision of support for prison rehabilitation, capacity-building of prison officials and vocational training of prisoners.",universalcefr/readme_en
na,en,readme,sentence-level,reference,C2,CC BY SA NC 4.0,"As their orbits are so eccentric that when at apastron the stars are twice as remote from each other as at periastron, they will for the next three and a half centuries continue to slacken their pace, until they shall have reached the most remote points of their orbits.",universalcefr/readme_en
na,en,readme,sentence-level,reference,B2,CC BY SA NC 4.0,"Torrid weather gripped large parts of western and central Europe on Wednesday, setting new June temperature records in Germany and the Czech Republic and forcing drivers to slow down on some sections of the famously speedy German autobahns.",universalcefr/readme_en
na,en,readme,sentence-level,reference,B1,CC BY SA NC 4.0,"Soap was rarely used, apart from washing one’s clothes, and they were made from wood ash lye to saponify animal fat.",universalcefr/readme_en
na,en,readme,sentence-level,reference,B2,CC BY SA NC 4.0,"Although humiliated and mistreated, she rises from the ashes like a phoenix.",universalcefr/readme_en
na,en,readme,sentence-level,reference,B2,CC BY SA NC 4.0,"Demographically, the counties Sherman hit were more populous, but not denser or more urban, and even the raw population diﬀerences fade when we include state ﬁxed eﬀects (column 4).",universalcefr/readme_en
na,en,readme,sentence-level,reference,B2,CC BY SA NC 4.0,Postwar underdevelopment in credit markets played an important role in explaining the extent of the relative eﬀects and the delay in recovery.,universalcefr/readme_en
na,en,readme,sentence-level,reference,C1,CC BY SA NC 4.0,The growth rates are winsorized at 1% to reduce the impact of outliers in our analysis,universalcefr/readme_en
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"The same holds for agricultural investments, but in this case the eﬀect is weaker statistically",universalcefr/readme_en
na,en,readme,sentence-level,reference,B1,CC BY SA NC 4.0,"The results are similar with the full sample, as the results by decade in Table A.5 suggest",universalcefr/readme_en
na,en,readme,sentence-level,reference,B2,CC BY SA NC 4.0,"Our discussion in the following paper steps back and reflects on the role of the ILC Articles in the wider field of international law.3 Three comments by James Crawford, which in our view capture three essential features of the ILC Articles, structure the discussion.",universalcefr/readme_en
na,en,readme,sentence-level,reference,B2,CC BY SA NC 4.0,"International practice has embraced the Articles, which have become the obvious reference point for any debate about State responsibility.",universalcefr/readme_en
na,en,readme,sentence-level,reference,B2,CC BY SA NC 4.0,"Again, Leiris faces a point of ignorance that stubbornly blocks the path to complete self-knowledge.",universalcefr/readme_en
na,en,readme,sentence-level,reference,B1,CC BY SA NC 4.0,"In this essay, I deal not with the ideal itself, but rather with its limitations.",universalcefr/readme_en
na,en,readme,sentence-level,reference,C2,CC BY SA NC 4.0,"If, then, we acknowledge the defensive nature of the search for the missing lacuna, the search itself—for a founding moment or a missing experience—turns out to be an obstacle to self-knowledge.",universalcefr/readme_en
